,id_visitor,SessionLength,NumSessions,MeanSessionLength,SearchesPerSession,MessagesPerSearch,RequestsPerSearch,requestsentbinary,messagesentbinary,searchbinary
585,a5c3e0bb-fd74-437f-8e64-d09e4cfaff90,54849.0,61,0 days 00:14:59.163934426,0.180327868852,1.36363636364,0.545454545455,1,1,1
586,a65ba820-2fbb-4dd3-a121-f1ed45b5358c,16186.0,18,0 days 00:14:59.222222222,0.388888888889,0.714285714286,0.142857142857,1,1,1
587,aa5cc3f8-e8fe-4c61-aa42-25adadb19412,34707.0,99,0 days 00:05:50.575757575,0.0606060606061,2.5,0.0,0,1,1
588,ab250b9f-79d1-4dc0-af0c-74c6ba83c5ce,16079.0,16,0 days 00:16:44.937500000,0.4375,1.0,0.428571428571,1,1,1
589,ab509d56b1ebe1ed91066d6732738fc1ba4ddf5c,880.0,1,0 days 00:14:40.000000000,1.0,0.0,0.0,0,0,1
590,af9e9562c8712352ea6f99a368d5b69c7f0323d8,24.0,1,0 days 00:00:24.000000000,0.0,,,0,0,0
591,b03087b5-6b04-4e91-be49-5b254dd0e839,138270.0,340,0 days 00:06:46.676470588,0.0205882352941,18.2857142857,0.0,0,1,1
592,b101f654-50e3-41b9-bdad-2791d4624f15,102.0,2,0 days 00:00:51.000000000,0.0,,,0,0,0
593,b11f0520-d023-47ed-a38e-d409ea760f9d,14646.0,18,0 days 00:13:33.666666666,0.5,0.333333333333,0.333333333333,1,1,1
594,b28ba8ae-e6da-4f6d-907d-3414417ca8ea,34267.0,37,0 days 00:15:26.135135135,0.162162162162,1.16666666667,0.5,1,1,1
595,b60c9151-4828-48cc-877f-08141649e3bc,34477.0,32,0 days 00:17:57.406250000,0.375,0.583333333333,0.166666666667,1,1,1
596,b6168c4b-578e-4d39-a5b2-dc0d4e5fe1b6,38418.0,44,0 days 00:14:33.136363636,0.318181818182,0.357142857143,0.0714285714286,1,1,1
597,bd4faad7-2256-40f3-be70-a6a656f0165b,48402.0,86,0 days 00:09:22.813953488,0.43023255814,0.0810810810811,0.0540540540541,1,1,1
598,c3242be4-bcf9-47aa-babe-b1404f766126,4047.0,5,0 days 00:13:29.400000000,0.4,0.0,0.0,0,0,1
599,c66c548e-246a-4639-8109-aee227f35df5,15722.0,19,0 days 00:13:47.473684210,0.473684210526,0.777777777778,0.0,0,1,1
600,cab922be308e5bfd6eff5a9baedb5055709bdfcd,1669.0,2,0 days 00:13:54.500000000,0.0,,,0,0,0
601,cb9c6854-1353-47a0-839f-75f48e23d69c,16417.0,17,0 days 00:16:05.705882352,0.176470588235,1.66666666667,0.0,0,1,1
602,cd5485e9-de64-498a-bd8b-b264df348444,17518.0,6,0 days 00:48:39.666666666,0.0,,,0,0,0
603,cf49fd40-c7dc-4ca0-bd0d-b38636b6aeb8,4400.0,44,0 days 00:01:40.000000000,0.0,inf,,0,1,0
